NPI/NDC policies 
MAgPIE 
Tue Sep 11 16:26:44 2018 
 
##---------------------------------------------------------------------------- 
## Avoiding Deforestation - AD (%) 
## percentage protection: 0 = no protection, 1 = full protection 
## Ref: BaseYear (1), Baseline (2) 
 
############## 
### NPI AD ### 
############## 
   dummy   targettype   baseyear   targetyear   target
     LUX            1       2015         2030        1
     DEU            1       2015         2030        1
     CHE            1       2015         2030        1
     ITA            1       2015         2030        1
     DNK            1       2015         2030        1
     AUT            1       2015         2030        1
     SWE            1       2015         2030        1
     CZE            1       2015         2030        1
     HRV            1       2015         2030        1
     SVN            1       2015         2030        1
     POL            1       2015         2030        1
     HUN            1       2015         2030        1
     SVK            1       2015         2030        1
     GRC            1       2015         2030        1
     ROU            1       2015         2030        1
     LTU            1       2015         2030        1
     LVA            1       2015         2030        1
     FIN            1       2015         2030        1
     EST            1       2015         2030        1
     BGR            1       2015         2030        1
     CYP            1       2015         2030        1
     SLV            1       2015         2015        1
     JPN            1       1995         1995        1
 
##---------------------------------------------------------------------------- 
## Afforestation - AFF (Mha) 
## Ref: BaseYear (1), Baseline (2) 
 
############### 
### NPI AFF ### 
############### 
   dummy   targettype   baseyear   targetyear   target
     LAX            1       2010         2020     1.74
     CEX            1       2010         2020     0.45
     OTX            1       2010         2020     0.81
     CHN            1       2005         2020    40.00
     IND            1       2005         2030     5.00
     VNM            1       1995         2015     4.23
     USA            1       1995         2015     7.10
     ECU            1       2005         2015     0.30
     PAN            1       2015         2035     1.00
     BRA            1       2010         2020     3.00
     URY            1       1995         2015     0.76
     MAR            1       2010         2020     0.40
     TUN            1       1995         2015     0.30
     AUS            1       2010         2020     0.02
 
############### 
### NDC AFF ### 
############### 
   dummy   targettype   baseyear   targetyear     target
     LAX            1       2015         2030     6.9400
     CEX            1       2015         2030     1.8100
     OTX            1       2015         2030     3.2400
     SEN            1       2020         2035     0.5598
     GHA            1       2020         2030     0.1000
     NAM            1       2020         2030     0.0300
     BDI            1       2015         2030     0.0040
     RWA            1       2015         2030     0.0300
     UGA            1       2020         2030     1.4600
     ETH            1       2020         2030     7.0000
     CHN            1       2005         2030   138.0000
     IND            1       2005         2030    31.7000
     LAO            1       2020         2020     0.0000
     THA            1       2020         2030     3.6900
     KHM            1       2010         2030     0.5400
     VNM            1       1995         2015     4.2300
     BLR            1       2020         2030     0.0400
     GEO            1       2020         2030     0.0090
     ARM            1       2020         2050     0.6000
     USA            1       1995         2015     7.1000
     ECU            1       2005         2025     1.0000
     HND            1       2020         2030     1.0000
     PAN            1       2015         2035     1.0000
     CHL            1       2020         2030     0.2000
     HTI            1       2020         2030     0.0025
     BRA            1       2010         2030    12.0000
     BOL            1       2020         2030     4.5000
     URY            1       2020         2020     0.8200
     MAR            1       2010         2020     0.4000
     TUN            1       1995         2015     0.3000
     PAK            1       2015         2020     0.8300
     AUS            1       2010         2020     0.0200
     LKA            1       2020         2030     0.1800
