version,lucEmisRaw2020,lucEmisRaw2050,lucEmisRaw2100,tau2020,tau2050,tau2100,cropland2020,cropland2050,cropland2100,irrigated2020,irrigated2050,irrigated2100,pasture2020,pasture2050,pasture2100,forest2020,forest2050,forest2100,other2020,other2050,other2100,production2020,production2050,production2100,costs2020,costs2050,costs2100,foodExp2020,foodExp2050,foodExp2100
4.13.0,1990.53,24.95,1285.68,1.28,1.64,1.89,1570.17,1662.21,1923.37,244.01,368.97,471.48,3256.53,3250.17,3171.2,4054.66,3987.36,3960.69,4032.77,3993.42,3828.39,17356.28,22558.33,25170.7,3443728.93,4567396.69,6824370.26,1623.95,2442.77,4916.26
4.12.0,2640.51,347.36,829.47,1.27,1.61,1.87,1579.89,1695.16,1962.52,245.57,376.49,459.4,3301.45,3295.75,3169.51,4064.46,3993.45,3933.02,3975.83,3902.13,3811.92,16961.85,22246.11,24761.81,3377362.03,4560650.58,6614375.19,1622.25,2443.32,4917.72
4.11.0,3955.61,609.99,1065.13,1.25,1.6,1.88,1558.03,1640.44,1891.94,242.12,365.49,494.44,3314.14,3324.15,3296.26,4066.85,4006.65,3900.61,3982.6,3915.24,3788.16,16434.28,21917.78,24491.06,3590863.74,4896810.04,6108842.8,1711.18,2540.35,5047.86
4.10.1,4029.35,937.76,811.98,1.24,1.58,1.86,1570.1,1641.16,1908.36,238.83,369.84,481.77,3312.71,3338.12,3286.4,4064.03,4009.22,3906.25,3974.78,3897.98,3775.96,16532.71,22332.48,24534.96,3595710.82,4904095.84,6267265.88,490.26,541.95,651.09
4.10.0,4438.37,642.79,2314.92,1.25,1.59,1.9,1567.73,1648.46,2040.84,248.7,372.56,440.97,3317.58,3325.78,3228.85,4062.96,4005.61,3853.23,3973.36,3906.63,3754.05,16573.7,22530.53,28136.87,3587732.56,4920714.93,6352535.16,493.01,546.41,648.25
